EN,BM,中文,EN,BM,中文,,,,,,,,,
INDUSTRY,INDUSTRI,行业,OCCUPATION,PEKERJAAN,职业,Gender,Death,ADD,TPD,Medical,,Column,Value,Represent
Acetylene Gas Manufacture,"Pembuatan Gas Asetilena
",乙炔气制造,"Acetylene Filler, Generator, Operator & Other Skilled Worker","Pengisi Acetylene ,Penjana,Operater & Pekerja kemahiran lain",乙炔填料员，发电机工，操作员及其他技术工人,,2.5,1.25,1,D,,Death,x,"Additional RMx per 1,000 SA per annum"
Acetylene Gas Manufacture,"Pembuatan Gas Asetilena
",乙炔气制造,"Chemist, Superintendent (Not Engaged In Process Work)","Ahli Kimia, Superintendent (Tidak terlibat dalam proses kerja)",化学家，主管（不参与流程工作）,,0,1,1,1,,ADD,1,Std premium
Acetylene Gas Manufacture,"Pembuatan Gas Asetilena
",乙炔气制造,"Deliveryman, Trucker","Penghantaran, Pemandu Truk",送货员，卡车司机,Male,0,1.25,1,D,,ADD,1.25,+25% premium
Acetylene Gas Manufacture,"Pembuatan Gas Asetilena
",乙炔气制造,"Deliverywoman, Trucker","Penghantaran, Pemandu Truk",送货员，卡车司机,Female,0,1.25,1,D,,ADD,1.5,+50% premium
Acetylene Gas Manufacture,"Pembuatan Gas Asetilena
",乙炔气制造,"Engineer, Laboratory Assistant","Jurutera, Pembantu makmal ",工程师，实验室助理,,0,1,1,1,,ADD,D,Decline
Acetylene Gas Manufacture,"Pembuatan Gas Asetilena
",乙炔气制造,Labourer,Pekerja ,劳工,,5,D,D,D,,TPD,1,Std premium
Acupuncturist,Tukang Akupuntur,针灸师,Acupuncturist,Tukang Akupuntur,针灸师,,0,1,1,1,,TPD,1.5,+50% premium
Administration & Management,Pentadbiran & Pengurusan,行政管理,"Actuary, Advocate & Solicitor, Architect, Consultant, Lawyer, Advisor","Actuari, Peguambela & Peguamcara, Arkitek, Perunding nasihat, Peguam, Penasihat",精算师，辩护律师，建筑师，顾问，律师，指导,,0,1,1,1,,TPD,2,+100% premium
Administration & Management,Pentadbiran & Pengurusan,行政管理,Assistant General Manager (AGM),Pembantu Pengurus ,助理总经理（AGM,,0,1,1,1,,TPD,D,Decline
Administration & Management,Pentadbiran & Pengurusan,行政管理,Chairman,Pengerusi/Pengurus ,主席,Male,0,1,1,1,,Medical,1,Std premium
Administration & Management,Pentadbiran & Pengurusan,行政管理,Chairlady,Pengerusi/Pengurus ,主席,Female,0,1,1,1,,Medical,1.3,+30% premium
Administration & Management,Pentadbiran & Pengurusan,行政管理,Chief Compliance Officer (CCO),Ketua Pegawai Pematuhan ,首席合规员（CCO）,,0,1,1,1,,Medical,1.45,+45% premium
Administration & Management,Pentadbiran & Pengurusan,行政管理,Chief Executive Officer (CEO),Ketua Pegawai Eksekutif  (CEO),首席执行员（CEO）,,0,1,1,1,,Medical,D,Decline
Administration & Management,Pentadbiran & Pengurusan,行政管理,Chief Financial Officer (CFO),Ketua Pegawai Kewangan ,首席财务员（CFO）,,0,1,1,1,,,,
Administration & Management,Pentadbiran & Pengurusan,行政管理,Chief Human Resources Officer (CHO),Ketua Pegawai Sumber Manusia,首席人力资源员（CHO）,,0,1,1,1,,,,
Administration & Management,Pentadbiran & Pengurusan,行政管理,Chief Information Officer (CIO),Ketua Pegawai Maklumat ,首席信息员（CIO）,,0,1,1,1,,,,
Administration & Management,Pentadbiran & Pengurusan,行政管理,Chief Investment Officer (CIO),Ketua Pegawai Pelaburan ,首席投资员（CIO）,,0,1,1,1,,,,
Administration & Management,Pentadbiran & Pengurusan,行政管理,Chief Marketing Officer (CMO),Ketua Pegawai Pemasaran ,首席营销员（CMO）,,0,1,1,1,,,,
Administration & Management,Pentadbiran & Pengurusan,行政管理,Chief Operations Officer (COO),Ketua Pegawai Operasi ,首席运营员（COO）,,0,1,1,1,,,,
Administration & Management,Pentadbiran & Pengurusan,行政管理,Creative Director,Pengarah Kreatif ,创意总监,,0,1,1,1,,,,
Administration & Management,Pentadbiran & Pengurusan,行政管理,Deputy General Manager (DGM),Timbalan Pengurus Besar ,副总经理（DGM）,,0,1,1,1,,,,
Administration & Management,Pentadbiran & Pengurusan,行政管理,Executive Director (ED),Pengarah Eksekutif ,执行董事（ED）,,0,1,1,1,,,,
Administration & Management,Pentadbiran & Pengurusan,行政管理,General Counsel (Legal),Penasihat AM (Undang-undang),法律总顾问（法律）,,0,1,1,1,,,,
Administration & Management,Pentadbiran & Pengurusan,行政管理,General Manager (GM),Pengurus Besar ,总经理（GM）,,0,1,1,1,,,,
Administration & Management,Pentadbiran & Pengurusan,行政管理,Managing Director (MD),Pengarah Pengurusan ,常务董事 （MD）,,0,1,1,1,,,,
Administration & Management,Pentadbiran & Pengurusan,行政管理,Medical Director (MD),Pengarah Perubatan ,医学总监（MD）,,0,1,1,1,,,,
Administration & Management,Pentadbiran & Pengurusan,行政管理,Partners,Rakan Kongsi ,伙伴,,0,1,1,1,,,,
Administration & Management,Pentadbiran & Pengurusan,行政管理,President,President ,主席,,0,1,1,1,,,,
Administration & Management,Pentadbiran & Pengurusan,行政管理,Sales Director,Pengarah Jualan ,销售总监,,0,1,1,1,,,,
Administration & Management,Pentadbiran & Pengurusan,行政管理,"Secretary, Personal Assistant, Receptionist, Typist, Clerk","Setiausaha, Pembantu Pribadi, Penyambut Tetamu, Kerani ",秘书，私人助理，接待员，打字员，文员,,0,1,1,1,,,,
Administration & Management,Pentadbiran & Pengurusan,行政管理,"Senior Management, Manager, Executive, Management Trainee (Office Work Only)","Pengurusan Kanan, Pengurus, Eksekutif, Pengurusan Pelatih (Pekerja pejabat sahaja)",高级管理人员，经理，行政人员，管理培训生（仅办公室工作）,,0,1,1,1,,,,
Advertising,Pengiklanan ,广告,"Advertising Manager, Advertising Assistant","Pengurus Pengiklanan, Pembantu iklan ",广告经理，广告助理,,0,1,1,1,,,,
Advertising,Pengiklanan ,广告,"Art Director, Producer","Pengarah Seni, Penerbit ",艺术总监，制作人,,0,1,1,1,,,,
Advertising,Pengiklanan ,广告,Copy-Writer,Penulisan Iklan ,抄写员,,0,1,1,1,,,,
Advertising,Pengiklanan ,广告,Neon Light Signs - Glass-Bender Or Blower & Layout Man (Refer To Glass & Mirror),Penanda lampu neon- kaca-Mesin Pembengkok Or pengering & pelakar lakaran (Merujuk kepada Kaca & Cermin),霓虹灯招牌 - 玻璃弯管或鼓风和布置工人（请参阅玻璃和镜子）,,0,1.25,1,D,,,,
Advertising,Pengiklanan ,广告,Neon Light Signs - Sign-Erector & Outside Maintenance Man,Penanda Lampu Neon- Penanda-Erektor & Tukang Penyelengaraan Luar,霓虹灯招牌 - 招牌竖立及户外维修员,,2.5,1.25,1,D,,,,
Advertising,Pengiklanan ,广告,Sign Board Painter - Indoors,Pengecat Papan Tanda -Dalaman ,招牌漆工 - 室内,,0,1,1,1,,,,
